COLLE ROIO,APS1,42°20'36''N,013°20'42''E,FROM PES VOR: 260°/38NM
COLLECCHIO,MPSW1,44°45'02''N,010°13'11''E,TO Ponte Taro: 354°/5NM TO Sant'Ilario d'Enza: 084°/10NM TO Traversetolo: 131°/9NM
COLLEFERRO,RHNW1,41°44'42''N,012°58'35''E,FROM LAT VOR/DME: 010°/13NM FROM FRS VOR/DME: 292°/16NM TO Sgurgola 117°/9NM
COLLESALVETTI,RPSE2,43°36'50''N,010°27'49''E,FROM PIS L: 077°/7NM FROM PIS VOR: 139°/5NM
COLLEVERDE,RUE1,41°58'36''N,012°37'06''E,FROM ROM VOR: 006°/10NM
COLOMBO,RFS3,41°42'47''N,012°18'56''E,FROM OST VOR: 146°/6NM
COLORNO,MPNE2,44°55'58''N,010°22'38''E,FROM BOA VOR: 300°/46NM TO Brescello: 106°/6NM TO Sissa: 290°/5NM
COMO,MMN3,45°48'30''N,009°04'58''E,FROM BRL VOR: 285°/26NM FROM LIN VOR: 338°/22NM FROM SRN VOR: 014°/10NM FROM TZO VOR: 309°/23NM
CONEGLIANO,PASW1,45°54'02''N,012°18'29''E,FROM AVI NDB: 252°/5NM TO Vittorio Veneto: 002°/6NM
CONERO EST,PYSE1,43°33'22''N,013°38'00''E,FROM ANC VOR: 102°/7NM
CONFINE ITALIA/AUSTRIA,PPNE1,46°32'05''N,013°38'20''E,FROM VIW VOR: 228°/15NM
CONTIGLIANO,QNW1,42°24'38''N,012°46'06''E,FROM CMP VOR: 045°/24NM FROM ROM VOR: 012°/37NM
CORATO,BDW2,41°09'14''N,016°24'48''E,FROM BAR VOR: 270°/16NM FROM FGG VOR: 110°/43NM TO Molfetta: 070°/9NM
CORCIANO,RZW2,43°08'02''N,012°17'27''E,FROM PRU VOR: 280°/10NM
COSSATO,LENE1,45°34'32''N,008°10'24''E,FROM MMP VOR: 260°/24NM
COTIGNOLA,PRNW1,44°23'24''N,011°56'32''E,FROM FOL VOR/DME: 335°/13NM FROM RIM VOR: 306°/37NM
CTR,MFNW2,45°19'15''N,007°28'23''E,FROM CSL VOR: 308°/10NM FROM TOP VOR: 325°/29NM
CUORGNE',MFN1,45°23'17''N,007°40'02''E,FROM SCS VOR: 147°/26NM FROM CSL VOR: 004°/10NM FROM TOP VOR: 343°/29NM
DOGNA,PPNE5,46°26'55''N,013°18'50''E,FROM RIV NDB: 025°/34NM FROM VIW VOR: 237°/29NM
DRONERO,MZW3,44°28'03''N,007°21'29''E,FROM TOP VOR: 218°/38NM
DUINO,PQSE1,45°46'25''N,013°36'16''E,FROM RCH VOR: 120°/6NM FROM RON L: 105°/11NM
EAST,CGE1,36°51'04''N,012°11'24''E,FROM PAN VOR: 077°/11NM
EAST GATE,CTE2,37°53'38''N,012°43'25''E,FROM PAL VOR: 247°/23NM FROM TRP NDB: 095°/11NM FROM TRP VOR: 089°/10NM
EBOLI STADIO,RIE1,40°36'33''N,015°03'22''E,FROM SOR VOR: 085°/33NM
ECHO,PRNE1,44°07'40''N,012°47'12''E,FROM FOL VOR/DME: 097°/31NM FROM RIM VOR: 046°/10NM
EGNA TERMENO,PBS1,46°18'39''N,011°15'10''E,FROM OZE VOR: 195°/6NM
ERBA,MMN4,45°48'30''N,009°12'58''E,FROM BRL VOR: 290°/21NM FROM SRN VOR: 039°/13NM FROM TZO VOR: 320°/19NM
FAENZA NORD,PRNW4,44°19'22''N,011°54'15''E,FROM BOA VOR: 114°/29NM FROM FOL VOR/DME: 318°/10NM
FAVAZZINA,CRNE1,38°15'30''N,015°45'15''E,FROM RCA VOR: 023°/12NM
FIANO,MFW1,45°12'55''N,007°31'23''E,FROM CSL VOR: 266°/5NM FROM TOP VOR: 320°/23NM
FIESOLE,RQE2,43°48'27''N,011°18'27''E,FROM PRT VOR: 090°/5NM
FIUMICINO,RFS1,41°44'38''N,012°13'18''E,FROM OST VOR: 190°/4NM
FLUMINI,EESE3,39°12'53''N,009°17'16''E,FROM CAG VOR: 101°/11NM FROM CAR VOR: 301°/12NM
FOCE ANGITOLA,CAS2,38°48'00''N,016°13'00''E,FROM CRN VOR: 252°/42NM FROM LMT VOR: 198°/7NM
