ICAO,Type,Size,Name,Latitude,Longitude,Elevation(ft),Region,Municipality,IATA
,airport,small,Campo di Volo Top Gun,44.682302,10.568648,259,Emilia-Romagna,"Cavriago (RE), loc. Coviolo",
,airport,small,"Aviosuperficie ""Base Bravo""",45.392864,11.692645,45,Veneto,Cervarese Santa Croce (PD),
,airport,small,Altiporto Chamois,45.833793,7.618504,5600,Valle d'Aosta,Chamois (AO),
,airport,small,"Campo di Volo ""Volo Club Milano""",45.449444,8.998333,335,Lombardy,Cisliano (MI),
LIAL,airport,small,Aviosuperficie Sant'Illuminato,43.353667,12.216667,984,Umbria,Città di Castello (PG),
,airport,small,Al Casale Airfield,45.984782,12.923537,148,Friuli-Venezia Giulia,Codroipo (UD),
,airport,small,Campo di Volo Cogliate,45.640218,9.066056,,Lombardy,Cogliate (MI),
,airport,small,Aviosuperfice Mensanello,43.372874,11.120749,,Tuscany,Colle di val d'Elsa (SI),
,airport,small,"Campo di Volo ""Delta club Conselice""",44.541928,11.792177,9,Emilia-Romagna,Conselice (RA),
,airport,small,Val Vibrata Flying Field,42.809474,13.847142,269,Abruzzi,Corropoli (TE),
,airport,small,Aviosuperficie Boglietto,44.758611,8.183056,610,Piedmont,Costigliole d'Asti (AT),
,airport,small,Cumiana Airfield,44.939043,7.428925,984,Piedmont,Cumiana (TO),
,airport,small,Aviosuperficie Città di Curtatone,45.101333,10.75005,68,Lombardy,Curtatone,
,airport,small,Campo di Volo Aerlight Faenza,44.3353333,11.9178667,52,Emilia-Romagna,Faenza (RA),
,airport,small,Aviosuperficie Aviodelta,44.706594,10.249517,524,Emilia-Romagna,Felino (PR),
LINF,airport,small,Fermano Airfield,43.22652,13.74252,49,Marche,Fermo (FM),
LIDV,airport,small,Prati Vecchi d'Aguscello Airport,44.790884,11.671901,20,Emilia-Romagna,Ferrara (FE),
LIDI,heliport,small,Cortina d'Ampezzo Sant'Anna Heliport,46.574099,12.115463,4213,Veneto,Fiames (BL),
LIAF,airport,small,Foligno Airfield,42.9328,12.7101,730,Umbria,Foligno (PG),
,airport,small,Aviosuperficie Francavilla Bisio,44.729868,8.730075,525,Piedmont,Francavilla Bisio (AL),
,airport,small,Merlo Romano Airfield,44.834433,7.363565,1000,Piedmont,Garzigliana (TO),
,airport,small,"Campo di Volo ""Air Patria""",40.926943,14.061944,100,Campania,Giuliano (NA),
,airport,small,"Campo di Volo ""Delta Culture Club""",44.571111,11.451667,115,Emilia-Romagna,Granarolo Emilia (BO),
,airport,small,"Campo di Volo ""Aerolight Marche""",43.512778,13.193611,328,Marche,Jesi (AN),
LIAP,airport,small,L'Aquila–Preturo Airport,42.379902,13.3092,2211,Abruzzi,L'Aquila,QAQ
,airport,small,Aviosuperficie Oasi dei Re,36.72148,14.77365,128,Sicily,Marina di Modica (RG),
,airport,small,Aviosuperficie CHAVEZ-MARINI,46.134167,8.306333,912,Piedmont,Masera (VB),
LINB,airport,small,Corte Airfield,40.107104,18.257618,262,Apulia,Melpignano (LE),
,airport,small,Aviosuperficie Mezzana Bigli,45.065409,8.835176,,Lombardy,Mezzana Bigli (PV),
,airport,small,Aviosuperficie Molinella,44.5982,11.656286,22,Emilia-Romagna,Molinella (BO),
,airport,small,"Aviosuperficie ""Avioclub Montagnana""",45.24438,11.42567,32,Veneto,Montagnana (PD),
,airport,small,Aviosuperficie Kong,45.76161,9.44497,633,Lombardy,Monte Marenzo (LC),
,airport,small,Fly Roma Airfield,41.884894,12.718286,190,Lazio,Montecompatri (RM),
,airport,small,Fly Synthesis Airfield,45.968667,13.23355,167,Friuli-Venezia Giulia,Mortegliano (UD),
,airport,small,Aviosuperficie F. Baracca,45.838889,12.193889,269,Veneto,Nervesa della Battaglia,
,airport,small,Corry's Airfield,45.519248,10.380685,541,Lombardy,Nuvolera (BS),
,airport,small,Piancada Airfield,45.76417,13.07304,1,Friuli-Venezia Giulia,Palazzolo della Stella (UD),
,closed,closed,Aviosuperficie Avioclub Paternò,37.553356,14.884435,377,Sicily,Paternò,
,airport,small,Aviosuperficie La Filanda,43.4464,11.67414,,Tuscany,Pergine Valdarno (AR),
,airport,small,Campo di Volo Beltrutta,44.498333,7.723333,1174,Piedmont,Pezzolo Valle Uzzone (CN),
,airport,small,Aviosuperficie Prealpi-Musinè,45.124499,7.521442,,Piedmont,Pianezza (TO),
,airport,small,Aviosuperficie Piovera,44.935833,8.749333,312,Piedmont,Piovera (AL),
,airport,small,Campo di Volo Sant'Elia,44.741963,7.70987,,Piedmont,Racconigi (CN),
,airport,small,Aviosuperficie Rinaura,37.028647,15.243509,40,Sicily,Rinaura (SR),
,airport,small,Rivoli Tetti Neirotti Airfield,45.046818,7.536461,1000,Piedmont,Rivoli (TO),
,airport,small,Aviosuperficie Rosangeles,45.362833,9.016683,360,Lombardy,Rosate (MI),
,airport,small,Aviosuperficie Bovarella,37.792694,12.845078,656,Sicily,Salemi,
LIDW,airport,small,Aviosuperficie G. Carrer,45.6992,12.5431,7,Veneto,Salgareda (TV),
LIKI,airport,small,Aviosuperficie Caposile,45.564444,12.574722,,Veneto,San Donà di Piave,
,airport,small,Campo di volo Ploia,44.884167,8.780833,420,Piedmont,San Giuliano Vecchio (AL),
,airport,small,"Aviosuperficie ""Parco Livenza""",45.74,12.70393,,Veneto,San Stino di Livenza (VE),
,airport,small,Locher Field,46.600776,11.380098,3000,Trentino-Alto Adige,Sarentino (BZ),
LIQY,airport,small,Aviosuperficie Aliscarlino,42.912222,10.816667,9,Tuscany,Scarlino (GR),
,airport,small,San Paolo Airfield,45.378663,10.037792,131,Lombardy,Scarpizzolo (BS),
,airport,small,Campo di Volo Groane,45.56612,9.109705,,Lombardy,Senago (MI),
,closed,closed,"Campo di Volo ""Senigallia Nord""",43.738267,13.183208,,Marche,Senigallia,
,airport,small,Aviosuperficie di Rubbiano,44.671947,10.060862,518,Emilia-Romagna,Solignano,
,airport,small,Aviosuperficie La Speziana,45.12847,9.36284,459,Lombardy,Spessa Po (PV),
,airport,small,"Campo di Volo ""Delta Top Pegaso""",42.224206,11.7948,351,Lazio,Tarquinia (VT),
,airport,small,Pradelle Airfield,45.49278,10.119883,341,Lombardy,Torbole di Casaglia (BS),
,airport,small,Aviosuperficie Delfina,42.842934,12.734494,708,Umbria,Trevi (PG),
,airport,small,Campo di Volo Valsusa,45.1125,7.287222,1250,Piedmont,Vaie (TO),
LIDL,airport,small,Legnago Airfield,45.129259,11.293344,30,Veneto,Vangadizza (VR),
,airport,small,Passo del Tonale Airfield,46.265134,10.600662,6550,Trentino-Alto Adige,Vermiglio (TN),
,airport,small,Campo di Volo Pellicano,44.8472222,7.5622222,813,Piedmont,Virle (TO),
,airport,small,Campo di Volo Arcobaleno,44.4969444,11.2436111,,Emilia-Romagna,Zola Predosa (BO),
,heliport,small,Eliporto Imperia,43.8842,8.028549,,Liguria,,
,heliport,small,Eliossola Heliport,41.3524,13.44381,187,Lazio,04022 Fondi LT,
,heliport,small,Ospedale Civile Helipad,42.66673,13.71704,961,Abruzzi,64100 Teramo TE,
,heliport,small,Protezione Civile Valtrigno,41.86637,14.53371,2942,Lazio,66050 Torrebruna CH,
,closed,closed,Campo Volo SAT Torino,44.889233,7.680422,,Piedmont,Carmagnola,
,heliport,small,Ceccano Heliport,41.53391,13.37462,400,Lazio,Castro dei Volsci FR,
,heliport,small,Poliambulatorio di Ladispoli Helipad,41.96867,12.08137,29,Lazio,Poliambulatorio di Ladispoli,
,heliport,small,Ospedale San Camillo,41.86757,12.45755,134,Lazio,Roma,
,heliport,small,Ospedale di Sora Heliport,41.72915,13.6321,1167,Lazio,Sora,
,heliport,small,Elitaliana Pegaso 33 Heliport,42.44131,12.05924,984,Lazio,Viterbo,
LINI,heliport,small,San Domino Island Heliport,42.117775,15.490655,,Apulia,Tremiti Islands,
LIPC,airport,medium,Cervia Air Base,44.224201,12.3072,18,Emilia-Romagna,Cervia,
LIRE,airport,medium,Pratica Di Mare Air Base,41.654499,12.4452,41,Lazio,Pomezia,
LIRL,airport,medium,Latina Air Base,41.5424,12.909,94,Lazio,Latina,
LIRM,airport,medium,Grazzanise Air Base,41.060799,14.0819,29,Campania,Caserta,
LIBA,airport,medium,Amendola Air Base,41.541401,15.7181,183,Apulia,Foggia,
LIRG,airport,medium,Guidonia Air Base,41.990299,12.7408,289,Lazio,Guidonia,
LIMR,airport,medium,Novi Ligure Eugenio Mossi Airfield,44.779999,8.78639,607,Piedmont,Novi Ligure (AL),
LIMS,airport,medium,Piacenza San Damiano Air Base,44.913102,9.723322,456,Emilia-Romagna,San Damiano (PC),
LIQW,airport,medium,Sarzana-Luni Air Base,44.088001,9.98795,45,Liguria,Sarzana (SP),
,closed,closed,Vicenza Airport,45.573399,11.5295,128,Veneto,Vicenza (VI),
,airport,small,Campo di Volo Meda,45.676374,8.486462,,Piedmont,,
,airport,small,La Tomasina,45.3283659,8.7974125,,Lombardy,,
,airport,small,"Campo di Volo ""Gli Aironi""",44.462771,11.789613,22,Emilia-Romagna,,
,airport,small,Rivaltella,44.642004,10.591759,,Emilia-Romagna,,
,airport,small,Aviosuperficie di Fucecchio,43.7514431,10.8073791,,Tuscany,,
,airport,small,Aviosuperficie Rotocenter,43.7152961,10.7439971,,Tuscany,,
,airport,small,Aviosuperfice Tronto,42.89005,13.87096,,Marche,,
,airport,small,CdV Serra de' Conti,43.55993,13.01976,,Marche,,
,airport,small,Centro Volo Campania,40.9515272,14.41188,,Campania,,
,airport,small,CdV Baia e Latina,41.29702,14.27219,,Campania,,
,airport,small,Campo di Volo Priolo (CLGP),37.07992,14.38008,545,Sicily,,
,airport,small,Aviosuperficie dei Navigli,45.414722,8.895,374,Lombardy,Abbiategrasso,
,airport,small,Campo di Volo Acquasparta,42.6841667,12.5527778,,Umbria,Acquasparta,
,airport,small,Agnedo Airfield,46.044722,11.541944,,Trentino-Alto Adige,Agnedo (TR),
,airport,small,Aviosuperficie Agrigento,37.247222,13.654722,167,Sicily,Agrigento,
,airport,small,Campo di Volo Aidone (cugno),37.432392,14.61525,450,Sicily,Aidone,
,airport,small,"Aviosuperficie ""Avioclub Alanno""",42.31458,14.000913,383,Abruzzi,Alanno (PE),
,airport,small,Cascina Rosio,45.417908,8.964061,384,Lombardy,Albairate,
,airport,small,Campo di Volo Borgotaro Albareto,44.464558,9.715806,1450,Emilia-Romagna,Albareto (PR),
,airport,small,"Campo di Volo ""Al Canale""",40.8125,17.233056,1100,Apulia,Alberobello,
,airport,small,"Campo di Volo ""Flying Tigers""",45.441708,7.935971,751,Piedmont,Albiano d'Ivrea,
,airport,small,"Campo di Volo ""Ali Filanti""",44.582222,11.923056,20,Emilia-Romagna,Alfonsine (FE),
,airport,small,Campo di Volo AliMatese,41.323638,14.363949,370,Campania,Alife (CE),
,airport,small,Tignes Airfield,46.15401,12.34751,1676,Veneto,Alpago (BL),
,airport,small,Pianon Altiport,46.145432,12.42808,3001,Veneto,Alpago (BL),
,airport,small,"Aviosuperficie ""Il Nido delle Acquile""",40.93769,16.497,1621,Apulia,Altamura,
,airport,small,Campo di Volo Altavillafly,40.5458333,15.1019444,207,Campania,Altavilla Silentina (SA),
,airport,small,"Aviosuperficie ""Amici del Volo""",41.676997,13.74285,1217,Lazio,Alvito (FR),
,airport,small,Pietralata Flying Field,39.970654,18.381006,300,Apulia,Andrano (LE),
,airport,small,"Aviosuperficie ""Ali sul Castello""",41.063481,16.280887,984,Apulia,Andria (BA),
,airport,small,Aviosuperficie Santo Stefano,42.072262,12.2628,725,Lazio,Anguillara Sabazia (RM),
,airport,small,Campo volo Apricena Fly ULM,41.79806,15.419932,443,Apulia,Apricena,
,airport,small,Aviosuperficie Fly Center,41.5472222,12.6708333,,Lazio,Aprilia (LT),
,closed,closed,Il Fantasma Arcole Airfield,45.36,11.294444,56,Veneto,Arcole,
,airport,small,"Campo di Volo ""Air Ardara""",40.625979,8.868129,734,Sardinia,Ardara (SS),
